layer,iteration,mean_ir_pwr,min_ir_pwr,max_ir_pwr,std_ir_pwr,eiq_ir_pwr,median_ir_pwr,mad_ir_pwr,q_10,q_90,q_5,q_95,q_1,q_99,out_sup,out_sup_rate,out_inf,out_inf_rate
55,1,15.632269,0.048934333,28.496094,3.1745021,4.439042091369629,15.850063,2.5724382,11.23159408569336,19.538780212402344,10.264558792114258,20.55008888244629,8.875755310058594,22.982826232910156,24.489301204681396,0.4777904870841674,6.733132839202881,0.08896514472722651
56,1,15.857676,0.0745666,25.4109,2.7611687,3.1108245849609375,16.206585,2.119433,11.527530670166016,19.021472930908203,10.273880004882812,19.827726364135742,8.775556564331055,21.305076599121094,22.343181610107422,0.2708708577510967,9.899883270263672,3.722488437349199
57,1,15.610422,0.06524578,28.57765,3.142237,4.427391052246094,15.81278,2.550383,11.2781982421875,19.47586441040039,10.320483207702637,20.51513671875,8.924691200256348,22.784759521484375,24.441532135009766,0.3856533766514881,6.731967926025391,0.08896638143144525
58,1,15.916763,0.08388742,25.462164,2.7927873,3.157428741455078,16.25785,2.1429038,11.588115692138672,19.114683151245117,10.320483207702637,19.94656753540039,8.691669464111328,21.521785736083984,22.487653732299805,0.30761592691887596,9.857938766479492,3.4872405917982325
59,1,15.676689,0.09553845,28.882908,3.220329,4.518271446228027,15.850063,2.6132503,11.243246078491211,19.67626190185547,10.23193645477295,20.678251266479492,8.777886390686035,22.978166580200195,24.715336322784424,0.4057234209454964,6.6422505378723145,0.08698328848464387
60,1,15.910064,0.048934333,24.975151,2.7851148,3.164419174194336,16.25785,2.1401217,11.602096557617188,19.105361938476562,10.318153381347656,19.91860580444336,8.680018424987793,21.42624855041504,22.50047016143799,0.22022932445796578,9.842793464660645,3.4742218497674586
61,1,15.629057,0.05825516,28.58464,3.168152,4.436713218688965,15.838412,2.566864,11.257226943969727,19.51780891418457,10.290191650390625,20.573392868041992,8.850123405456543,22.912918090820312,24.471827030181885,0.47145268592989775,6.724974155426025,0.08440075464204151
62,1,15.933031,0.06524578,26.1053,2.7922885,3.1550989151000977,16.278822,2.144667,11.557823181152344,19.133323669433594,10.332135200500488,19.967540740966797,8.81050968170166,21.51246452331543,22.500470638275146,0.3151535852443781,9.880074977874756,3.474037063809168
63,1,15.747811,0.046604127,29.551678,3.21781,4.469334602355957,15.943271,2.6000333,11.292180061340332,19.715877532958984,10.290191650390625,20.764469146728516,8.892067909240723,23.236820220947266,24.665231227874756,0.45873290425588953,6.787892818450928,0.09492395161658666
64,1,15.996646,0.079227015,26.624939,2.8295376,3.222092866897583,16.358047,2.1776876,11.555492401123047,19.24051284790039,10.327474594116211,20.044435501098633,8.766236305236816,21.598684310913086,22.70349109172821,0.30045952633439377,9.815119624137878,3.301281669387285
